Well Log Id,Well Comp Dt,Year,Well Depth Qt,Well Diameter Qt,Well Depth,elevation,elevation (ft),St Plane Xcoord Nr,St Plane Ycoord Nr,latitude,longitude
67801,10/10/1984,1984,63,6,87.91864,46,150.91864,1128395,851072,47.64850263,-122.5772945
67824,2/21/1980,1980,171,8,88.18636,79,259.18636,1136432,856195,47.66311651,-122.5452415
67829,11/1/1985,1985,107,6,-61.06824,14,45.93176,1145318,842713,47.6267978,-122.5078042
67830,6/14/1986,1986,90,6,-90,0,0,1140776,870504,47.7026338,-122.5291142
67842,9/4/1986,1986,153,6,175.084,100,328.084,1141278,837490,47.6122021,-122.5236374
67849,4/12/1987,1987,50,6,22.17848,22,72.17848,1128889,832512,47.59767892,-122.5733124
67853,7/18/1985,1985,390,6,-209.5538,55,180.4462,1137990,866634,47.69183226,-122.5400172
67863,3/27/1975,1975,140,6,33.88452,53,173.88452,1135694,875910,47.71708701,-122.5503143
67907,10/12/1990,1990,164,8,-6.51968,48,157.48032,1140001,838854,47.61584999,-122.5289546
67912,11/22/1991,1991,59,8,0.05512,18,59.05512,1145981,869077,47.69908859,-122.5078377
67917,8/23/1996,1996,52,6,30.021,25,82.021,1135237,860170,47.67392389,-122.5505081
67935,7/21/1980,1980,86,6,-86,0,0,1134114,832413,47.59778215,-122.5521337
67936,6/27/1980,1980,83,6,-83,0,0,1132816,832443,47.59777168,-122.5573955
67939,5/3/1990,1990,154,6,-55.5748,30,98.4252,1131488,831138,47.5941005,-122.5626374
67951,2/3/1976,1976,270,6,-142.04724,39,127.95276,1132260,845685,47.63401882,-122.5610502
68059,2/13/1979,1979,90,6,179.02888,82,269.02888,1138230,847534,47.63951066,-122.5370407
68106,4/19/1991,1991,228,6,-63.958,50,164.042,1135400,868021,47.69544884,-122.5506751
68116,7/3/1991,1991,108,6,-39.10236,21,68.89764,1140349,853406,47.65575123,-122.5290617
68119,10/25/1990,1990,40,6,110.91864,46,150.91864,1131162,856302,47.66303323,-122.5666296
68144,7/6/1979,1979,108,6,101.97376,64,209.97376,1132845,872083,47.70639689,-122.5614762
68150,9/21/1983,1983,116,8,-63.50656,16,52.49344,1135480,835027,47.60504263,-122.5468744
68155,9/13/1978,1978,183,6,26.97376,64,209.97376,1134056,866735,47.69182906,-122.555994
68157,1/28/1991,1991,188,8,-135.50656,16,52.49344,1135480,835027,47.60504263,-122.5468744
68170,2/16/1990,1990,231,6,97.084,100,328.084,1141278,837490,47.6122021,-122.5236374
68172,10/5/1989,1989,59,6,62.39108,37,121.39108,1146727,846636,47.63764624,-122.5024965
68173,10/11/1989,1989,76,6,45.39108,37,121.39108,1146727,846636,47.63764624,-122.5024965
68176,4/27/1991,1991,101,6,125.37796,69,226.37796,1137616,849549,47.64498882,-122.5397415
68182,8/21/1989,1989,108,6,79.00788,57,187.00788,1136208,845611,47.6340977,-122.5450368
68195,3/14/1991,1991,80,6,41.39108,37,121.39108,1135744,877212,47.72065826,-122.5502487
68198,12/16/1985,1985,70,6,18.58268,27,88.58268,1128921,833874,47.60141352,-122.5733278
68207,6/11/1979,1979,54,8,306.8924,110,360.8924,1132032,836451,47.60869873,-122.5609961
68214,7/23/1981,1981,108,6,49.48032,48,157.48032,1132798,869426,47.6991129,-122.561385
68225,1/19/1989,1989,141,6,9.91864,46,150.91864,1128395,851072,47.64850263,-122.5772945
68226,11/22/1991,1991,224,6,-96.04724,39,127.95276,1128573,857667,47.66658721,-122.5772771
68227,7/9/1991,1991,46,6,9.77428,17,55.77428,1137847,860098,47.67391208,-122.5399114
68228,2/4/1985,1985,58,6,194.62468,77,252.62468,1137585,848223,47.64135302,-122.5397282
68229,9/30/1991,1991,138,6,272.105,125,410.105,1129402,841775,47.62309914,-122.5722202
68231,8/9/1990,1990,125,6,58.72704,56,183.72704,1137526,845573,47.6340871,-122.5396895
68232,9/4/1986,1986,54,6,228.15224,86,282.15224,1141550,848061,47.64118902,-122.5236344
68237,7/24/1979,1979,74,6,-5.10236,21,68.89764,1128352,848425,47.64124613,-122.5771861
68238,4/25/1988,1988,119,6,-119,0,0,1137064,877162,47.72061516,-122.5448833
68239,3/21/1990,1990,130,6,-130,0,0,1134425,877260,47.72069569,-122.5556099
68240,9/11/1982,1982,68,6,33.70604,31,101.70604,1132697,861549,47.6775212,-122.5609594
68242,4/30/1990,1990,71,6,-71,0,0,1134425,877260,47.72069569,-122.5556099
68249,12/6/1989,1989,308,6,-35.69028,83,272.30972,1142521,836921,47.61073015,-122.5185411
68258,10/5/1988,1988,127,,60.00788,57,187.00788,1136208,845611,47.6340977,-122.5450368
68265,1/29/1986,1986,121,6,-2.88976,36,118.11024,1143824,837884,47.61346037,-122.5133605
68267,9/1/1989,1989,54,6,60.8294,35,114.8294,1127169,853731,47.65570028,-122.5825508
68270,5/2/1983,1983,118,6,101.81628,67,219.81628,1145102,836890,47.61082577,-122.5080787
68281,4/11/1990,1990,149,6,129.8714,85,278.8714,1133706,852283,47.65220245,-122.5558853
68286,11/20/1991,1991,582,6,-480.29396,31,101.70604,1139354,867909,47.69542258,-122.5346148
68288,3/16/1990,1990,129,6,-129,0,0,1134425,877260,47.72069569,-122.5556099
68291,11/20/1989,1989,157,6,-68.41732,27,88.58268,1141672,853349,47.65568819,-122.52369
68296,3/2/1992,1992,73,6,110.72704,56,183.72704,1132821,870755,47.70275623,-122.5614327
68298,12/18/1991,1991,363,6,-202.23884,49,160.76116,1128332,847099,47.63761112,-122.5771256
68299,11/2/1987,1987,70,6,133.41208,62,203.41208,1145428,846659,47.63761876,-122.5077656
68313,7/3/1991,1991,141,6,16.48032,48,157.48032,1132659,862815,47.68098757,-122.5612478
68316,8/20/1986,1986,85,6,33.11024,36,118.11024,1143824,837884,47.61346037,-122.5133605
68320,3/18/1991,1991,62,4,59.39108,37,121.39108,1135744,877212,47.72065826,-122.5502487
68321,5/4/1990,1990,69,6,52.39108,37,121.39108,1135744,877212,47.72065826,-122.5502487
68327,4/23/1991,1991,97,6,90.00788,57,187.00788,1138998,852142,47.65219216,-122.5344088
68328,10/10/1991,1991,304,6,-87.46456,66,216.53544,1137675,852197,47.65224922,-122.53978
68333,1/24/1989,1989,220,6,-23.1496,60,196.8504,1134118,869384,47.69909224,-122.5560226
68340,8/1/1989,1989,150,6,7.48032,48,157.48032,1132798,869426,47.6991129,-122.561385
68346,11/5/1980,1980,135,6,-7.04724,39,127.95276,1138185,871900,47.70627594,-122.5397786
68348,4/25/1984,1984,100,6,-27.82152,22,72.17848,1137467,842932,47.62684582,-122.5396517
68358,6/18/1991,1991,310,6,-310,0,0,1145562,850534,47.64824677,-122.5076222
68359,12/19/1977,1977,52,6,79.2336,40,131.2336,1135279,861483,47.67752478,-122.5504762
68362,10/25/1979,1979,92,6,111.41208,62,203.41208,1145428,846659,47.63761876,-122.5077656
68370,10/27/1994,1994,49,6,131.4462,55,180.4462,1137990,866634,47.69183226,-122.5400172
68371,10/13/1978,1978,124,6,69.56956,59,193.56956,1138968,850819,47.64856466,-122.5343921
68376,4/24/1992,1992,44,6,165.97376,64,209.97376,1137646,850872,47.64861632,-122.5397586
68380,10/12/1979,1979,147,6,-19.04724,39,127.95276,1128573,857667,47.66658721,-122.5772771
68383,12/30/1989,1989,266,6,29.2756,90,295.2756,1134151,870710,47.70272807,-122.556029
68392,11/25/1990,1990,61,6,152.2546,65,213.2546,1142896,849337,47.64478016,-122.5183092
68405,1/16/1990,1990,94,6,43.79528,42,137.79528,1127207,856371,47.66293718,-122.5826795
68408,12/6/1990,1990,167,6,33.13124,61,200.13124,1132448,854954,47.65943163,-122.5612703
68409,8/17/1990,1990,169,6,31.13124,61,200.13124,1132448,854954,47.65943163,-122.5612703
68410,5/2/1990,1990,145,6,71.53544,66,216.53544,1135645,874608,47.71351583,-122.5503758
68413,9/23/1981,1981,282,6,-144.20472,42,137.79528,1134028,865422,47.68822919,-122.5559687
68414,9/23/1991,1991,240,6,-151.41732,27,88.58268,1133988,861517,47.67752585,-122.5557179
68416,5/10/1990,1990,48,6,96.35696,44,144.35696,1131101,853654,47.65577273,-122.5665955
68419,9/4/1990,1990,109,6,97.69292,63,206.69292,1139051,854780,47.65942471,-122.5344699
68430,5/12/1983,1983,103,6,-103,0,0,1137064,877162,47.72061516,-122.5448833
68436,5/25/1988,1988,134,6,23.48032,48,157.48032,1132659,862815,47.68098757,-122.5612478
68438,12/13/1989,1989,254,6,-70.27296,56,183.72704,1142004,867831,47.6953957,-122.5238509
68449,3/24/1998,1998,380,6,-242.20472,42,137.79528,1129938,858965,47.6702424,-122.5718783
68453,8/20/1987,1987,84,,-80.71916,1,3.28084,1128861,831151,47.59394735,-122.5732809
68463,11/21/1979,1979,204,6,-76.04724,39,127.95276,1141644,852030,47.65207181,-122.5236663
68466,1/29/1990,1990,30,6,52.021,25,82.021,1135237,860170,47.67392389,-122.5505081
68474,5/23/1991,1991,444,6,-293.08136,46,150.91864,1138030,867946,47.69543024,-122.5399926
