Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd,latitude,elevation,longitude,elevation (ft),Well Depth
1,1143799,835923,47.608084821000006,-122.513258956,10/27/1988,110.0,6.0,62845,W,47.608084821000006,39,-122.513258956,127.95276,17.952759999999998
1,1130156,829824,47.590404133999996,-122.567893811,6/1/1992,59.0,6.0,62849,W,47.590404133999996,5,-122.567893811,16.4042,-42.5958
1,1127169,853731,47.655700276000005,-122.58255084,6/28/1985,63.0,6.0,62879,W,47.655700276000005,35,-122.58255084,114.82939999999999,51.82939999999999
1,1143050,855942,47.662890476,-122.51837027100001,3/27/1974,77.0,6.0,62923,W,47.662890476,61,-122.51837027100001,200.13124,123.13123999999999
1,1128861,831151,47.59394735,-122.57328086700001,9/23/1988,80.0,6.0,62947,W,47.59394735,1,-122.57328086700001,3.28084,-76.71916
1,1145080,835891,47.608086633,-122.508064802,7/24/1987,460.0,6.0,62990,W,47.608086633,82,-122.508064802,269.02888,-190.97111999999998
1,1132798,869426,47.699112899,-122.56138504100001,10/7/1978,31.0,6.0,63002,W,47.699112899,48,-122.56138504100001,157.48032,126.48032
1,1127075,851104,47.648494916000004,-122.582650695,11/16/1985,124.0,6.0,63007,W,47.648494916000004,46,-122.582650695,150.91864,26.91864000000001
1,1141969,866515,47.691787118,-122.52385584,5/14/1988,98.0,6.0,63008,W,47.691787118,70,-122.52385584,229.65879999999999,131.65879999999999
1,1136589,862753,47.681098073,-122.545294615,1/17/1989,217.0,6.0,63035,W,47.681098073,70,-122.545294615,229.65879999999999,12.658799999999985
1,1135446,833706,47.601420252,-122.546873275,6/17/1987,53.0,6.0,63048,W,47.601420252,4,-122.546873275,13.12336,-39.87664
1,1134765,840350,47.619578374,-122.550332325,10/20/1992,100.0,6.0,63070,W,47.619578374,69,-122.550332325,226.37796,126.37796
