well_log_id,well_depth_qt,well_diameter_qt,well_comp_dt,well_type_cd,ST_PLANE_XCOORD_NR,ST_PLANE_YCOORD_NR,srcLat,srcLon
70408,135,6,3/30/1989,W,1139341,907550,47.80404286,-122.5388274
70409,80,6,5/23/1978,W,1117128,873844,47.71007896,-122.6254722
70411,150,6,6/15/1991,W,1119052,893568,47.76426586,-122.6198137
70417,30,10,11/2/1973,W,1112991,849519,47.64311852,-122.6395881
70420,49,6,4/26/1976,W,1119052,893568,47.76426586,-122.6198137
70421,334,6,12/29/1981,W,1108604,896482,47.7714729,-122.6625979
70423,68,6,3/19/1980,W,1099636,863797,47.68123621,-122.6953489
70424,160,6,9/12/1988,W,1094160,857255,47.66289086,-122.7168214
70434,113,6,2/9/1978,W,1112970,866077,47.68848831,-122.6414965
70439,398,6,12/23/1980,W,1127570,832537,47.59765228,-122.5786587
70443,161,6,5/23/1991,W,1131904,816418,47.55379243,-122.5593949
70447,310,6,4/10/1980,W,1139909,836221,47.60862823,-122.5290529
70450,96,6,7/31/1980,W,1121226,810159,47.53586842,-122.6019435
70452,92,6,10/4/1978,W,1133012,918376,47.83325486,-122.5657211
70455,43,6,5/15/1974,W,1146699,901758,47.78868975,-122.5083015
70464,163,6,9/20/1985,W,1107864,870188,47.69937102,-122.6626746
70467,109,6,8/25/1979,W,1134832,842994,47.62682847,-122.5503394
70470,228,6,12/8/1977,W,1093938,847949,47.63737443,-122.7166608
70474,230,6,4/12/1990,W,1136645,865365,47.68825948,-122.5453423
70475,185,6,3/2/1984,W,1117515,887036,47.74625458,-122.6253445
70476,90,6,8/6/1980,W,1137910,862719,47.68109867,-122.5399308
70480,60,6,11/14/1982,W,1132749,866768,47.69182599,-122.5613019
70486,86,6,10/4/1974,W,1129022,849069,47.64305917,-122.5745382
70487,299,6,1/8/1991,W,1125200,878920,47.72457936,-122.5932483
70489,184,6,9/16/1989,W,1140561,903514,47.79307033,-122.5334423
70493,270,6,7/30/1987,W,1123062,897448,47.77519141,-122.6039379
70495,65,6,8/23/1989,W,1109234,856276,47.66135341,-122.6555703
70498,42,6,10/3/1978,W,1128004,884148,47.73910804,-122.582422
70501,270,6,4/20/1987,W,1133506,891732,47.76028494,-122.5608774
70508,270,6,4/20/1987,W,1133706,896993,47.7747148,-122.5606233
70509,235,6,6/3/1983,W,1076970,851162,47.64485095,-122.7858271
70513,148,6,11/16/1984,W,1127584,870952,47.70291898,-122.5827123
70522,33,6,7/28/1981,W,1110732,876710,47.71745674,-122.6517559
70524,110,6,7/12/1986,W,1101827,888904,47.75019697,-122.6892872
70525,62,6,2/14/1984,W,1140522,902185,47.78942602,-122.5334615
70527,97,6,5/7/1987,W,1075728,853832,47.65206805,-122.7911774
70528,310,6,7/2/1991,W,1117813,897540,47.77505782,-122.625284
70538,81,6,10/25/1997,W,1068850,842124,47.61943706,-122.8176729
70539,78,6,1/15/1986,W,1128635,906617,47.80071992,-122.5822688
70543,48,6,7/26/1985,W,1125243,813974,47.54661519,-122.5860967
70544,301,5,10/3/1981,W,1109353,835707,47.60499958,-122.65281
70548,10,36,1/15/1992,W,1135366,866703,47.69183484,-122.550674
70549,176,6,6/17/1988,W,1144051,932544,47.87285861,-122.5222781
70562,44,6,12/11/1978,W,1134147,833737,47.60141269,-122.5521396
70564,45,2,1/10/1987,W,1142514,924709,47.85128285,-122.5277169
70573,345,6,9/11/1991,W,1134118,869384,47.69909224,-122.5560226
70574,214,6,6/3/1980,W,1134056,866735,47.69182906,-122.555994
70575,123,8,2/18/1975,W,1132718,865452,47.68821769,-122.5612881
70579,160,6,2/13/1992,W,1101424,874360,47.71031562,-122.689284
70580,234,6,4/29/1993,W,1127851,878855,47.72459358,-122.5824757
70582,64,6,3/2/1985,W,1087348,846878,47.63392914,-122.7432537
70584,105,6,4/11/1984,W,1088630,845521,47.63031064,-122.7379006
70585,208,6,7/7/1985,W,1097422,874488,47.71036077,-122.7055454
70591,241,6,1/12/1990,W,1144266,906541,47.80162532,-122.5186918
70595,423,6,4/3/1990,W,1121188,923859,47.84741929,-122.6144339
70606,228,6,5/19/1987,W,1134204,804463,47.52119515,-122.5488271
70607,102,5,6/4/1990,W,1134860,828191,47.58626563,-122.548667
70608,245,6,8/25/1990,W,1114307,913444,47.81837434,-122.6412903
70612,257,6,3/15/1991,W,1087748,860154,47.67033745,-122.7431631
70613,202,6,11/29/1983,W,1135194,858855,47.67031743,-122.5505438
70614,93,6,1/5/1984,W,1112635,858149,47.66673963,-122.641982
70615,90,6,1/6/1981,W,1112783,862099,47.67757419,-122.6418169
70617,78,6,5/11/1981,W,1108944,910941,47.81111531,-122.6628278
70618,115,6,8/13/1984,W,1129664,941031,47.89508645,-122.5817787
70620,178,6,9/20/1990,W,1081980,843070,47.62307447,-122.7645711
70627,162,6,1/29/1986,W,1106088,901783,47.78580789,-122.6734178
70628,148,6,10/13/1978,W,1143799,835923,47.60808482,-122.513259
70629,165,6,4/24/1979,W,1140197,943390,47.90230385,-122.5391151
70631,64,6,11/26/1984,W,1132749,866768,47.69182599,-122.5613019
70632,279,12,5/22/1985,W,1104573,854433,47.65595271,-122.6742693
70634,261,6,5/16/1991,W,1108311,846336,47.63404707,-122.6582106
70635,271,6,1/3/1992,W,1108311,846336,47.63404707,-122.6582106
70637,215,10,4/4/1983,W,1098554,833395,47.59784821,-122.6963034
70638,84,8,8/24/1982,W,1100718,858513,47.66684004,-122.6903631
70643,336,16,5/29/1985,W,1106378,866258,47.68849067,-122.6682676
70644,984,8,7/29/1991,W,1105952,857054,47.66323864,-122.668969
70645,988,8,2/21/1990,W,1091327,848059,47.63747425,-122.7272586
70647,868,8,7/31/1991,W,1094144,855927,47.6592508,-122.7167348
70649,375,6,7/3/1987,W,1053976,833320,47.59410071,-122.8768747
70651,60,6,12/28/1987,W,1123045,896140,47.77160621,-122.6038652
70653,66,6,9/9/1987,W,1142028,908814,47.80769612,-122.5280313
70654,253,6,4/9/1987,W,1139454,870543,47.70264733,-122.5344848
70655,197,8,8/15/1980,W,1111273,897702,47.77501573,-122.6518852
70664,80,6,8/9/1979,W,1129672,848392,47.64125086,-122.5718305
70667,69,6,11/22/1980,W,1098339,863814,47.68118373,-122.7006134
70671,65,6,8/2/1989,W,1144167,847987,47.64116978,-122.5130156
70673,227,6,3/19/1991,W,1128189,889357,47.75339453,-122.5822292
70676,194,8,4/26/1974,W,1106448,867566,47.69207998,-122.6681294
70680,209,6,5/4/1978,W,1133959,904900,47.79639848,-122.5604347
70685,336,6,10/19/1989,W,1128521,845768,47.63397749,-122.5762172
70686,140,6,4/12/1979,W,1121514,889526,47.75337152,-122.6093689
70694,50,6,6/12/1983,W,1086028,846919,47.63393847,-122.7486095
70695,74,6,10/18/1991,W,1086028,846919,47.63393847,-122.7486095
70696,90,6,10/21/1991,W,1086028,846919,47.63393847,-122.7486095
70708,106,6,11/27/1982,W,1063906,851498,47.64472192,-122.8388356
70716,59,6,3/19/1980,W,1107188,892635,47.76082566,-122.6679232
70720,465,6,10/31/1980,W,1057307,816576,47.54849558,-122.861351
70721,50,6,5/3/1994,W,1140634,906181,47.80038321,-122.5334251
70722,60,6,5/4/1994,W,1140634,906181,47.80038321,-122.5334251
70723,275,6,12/15/1987,W,1135057,853580,47.65585294,-122.5505431
70724,326,6,10/1/1982,W,1131826,878674,47.72438413,-122.566314
70729,257,6,11/8/1989,W,1136673,866670,47.69183743,-122.545366
70731,283,6,10/13/1983,W,1103203,891500,47.75741449,-122.6839889
70732,90,6,3/19/1988,W,1089304,870114,47.69774924,-122.7379977
70733,91,6,8/11/1984,W,1132480,856277,47.66305925,-122.5612807
70735,214,6,10/19/1990,W,1139514,804313,47.52116016,-122.5273295
70738,71,6,1/23/1990,W,1141449,888846,47.75294129,-122.5282973
70745,237,6,1/31/1991,W,1061227,850192,47.64092529,-122.8495398
70746,65,6,1/21/1982,W,1130294,807238,47.52852031,-122.5649391
70749,52,6,9/10/1982,W,1131033,851008,47.64851719,-122.5665901
70751,138,6,7/14/1983,W,1105951,895300,47.76803441,-122.6732484
70755,119,6,1/22/1991,W,1112531,855506,47.65948967,-122.6421127
